citing_oid	citing_date	nd_cite	nw_cite	class	fix	context
13716	2003-01-22	2002 ND 122	647 N.W.2d 698	OTHER		eard arguments. In the original opinion in this case, Johnson Farms v. McEnroe, 2002 ND 122, 647 N.W.2d 698 (“Johnson
13721	2003-02-19	1999 ND 210	606 N.W.2d 137	DB_NO_PARALLEL		e so on several previous occasions. *See id.; City of Valley City v. Stuart,* 1999 ND 210, ¶ 2, 606 N.W.2d 137; *Commun
13749	2003-03-05	2001 ND 126	680 N.W.2d 66	OTHER		e he inexcusably failed to raise this claim previously. *See Heyen v. State,* 2001 ND 126, ¶ 19, 680 N.W.2d 66. He may n
18468	2003-03-05	2001 ND 117	636 N.W.2d 674	DB_NO_PARALLEL		viction of Driving Under the Influence. This Court affirmed in State v. Jensen, 2001 ND 117, 636 N.W.2d 674. [¶3] Je
18468	2003-03-05	2001 ND 159	639 N.W.2d 706	OTHER		e set for his arraignment. This Court affirmed the judgment in State v. Jensen, 2001 ND 159, 639 N.W.2d 706. [¶4] Je
18468	2003-03-05	2002 ND 184	655 N.W.2d 84	OTHER		d counsel, and (6) illegal extradition. This Court affirmed in Jensen v. State, 2002 ND 184, 655 N.W.2d 84. [¶5] On
13784	2003-04-15	2000 ND 100	617 N.W.2d 131	DB_NO_PARALLEL		d and failing to conform with N.D.R.App.P. 28(a)(4), (5)). In Bublitz v. Tsang, 2000 ND 100, ¶ 4, 617 N.W.2d 131, we awa
13784	2003-04-15	2000 ND 100	617 N.W.2d 131	DB_NO_PARALLEL		and failing to conform with N.D.R.App.P. 28(a)(4), (5)). In *Bublitz v. Tsang,*2000 ND 100, ¶ 4, 617 N.W.2d 131, we awar
13849	2003-08-20	2002 ND 108	651 N.W.2d 692	DB_NO_PARALLEL		lence protection order was affirmed on direct appeal in *Larson v. McMorrow,* 2002 ND 108, 651 N.W.2d 692, 2002 WL
13860	2003-08-20	2001 ND 25	625 N.W.2d 264	OTHER		ee In the Interest of J.S.,*2002 ND 7, 638 N.W.2d 45; *In the Interest of J.S.,*2001 ND 25, 625 N.W.2d 264; *In the
13893	2003-11-13	2001 ND 191	686 N.W.2d 428	OTHER		substantially affecting the financial abilities or needs of a party.” *Sommer,*2001 ND 191, ¶ 18, 686 N.W.2d 428 (citati
18462	2003-11-13	2003 ND 165	674 N.W.2d 21	DB_NO_PARALLEL		": - ""2003 ND 165"" docket_number: ""20030116"" --- Klingenstein v. Klingenstein, 2003 ND 165, 674 N.W.2d 21 --- IN T"
13943	2004-01-20	2001 ND 161	639 N.W.2d 706	OTHER		rd through the trial and appeal of a criminal matter. *See State v. Ballard,* 2001 ND 161, 639 N.W.2d 706. Subseque
14036	2004-06-03	2003 ND 80	664 N.W.2d 516	DB_NO_PARALLEL		ss the trial court clearly abused its discretion. *Weininger v. Grzeshowiak,* 2003 ND 80, ¶ 2, 664 N.W.2d 516, 2003 WL
14037	2004-06-03	2003 ND 154	670 N.W.2d 154	OTHER		t has the burden of showing no genuine issue of material fact exists. Iglehart, 2003 ND 154, ¶ 10, 670 N.W.2d 154. Howev
14077	2004-07-22	2001 ND 160	639 N.W.2d 706	OTHER		Schmalenberger was assigned to hear the divorce case. See Stockert v. Stockert, 2001 ND 160, 639 N.W.2d 706. In the N
14077	2004-07-22	2001 ND 160	639 N.W.2d 706	OTHER		chmalenberger was assigned to hear the divorce case. *See Stockert v. Stockert,*2001 ND 160, 639 N.W.2d 706. In the N
14083	2004-08-04	2001 ND 25	625 N.W.2d 264	OTHER		); In the Interest of J.S.,*2002 ND 7, 638 N.W.2d 45; *In the Interest of J.S.,*2001 ND 25, 625 N.W.2d 264; *In the
14108	2004-10-12	2004 ND 3	676 N.W.2d 813	DB_NO_PARALLEL		istance of counsel in a post-conviction proceeding. *State v. Heckelsmiller,* 2004 ND 3, ¶ 2, 676 N.W.2d 813. Andrew H
14108	2004-10-12	2004 ND 3	676 N.W.2d 813	DB_NO_PARALLEL		d William Heckelsmiller should have been allowed to testify. *Heckelsmiller,* 2004 ND 3, ¶1, 676 N.W.2d 813; *cf. Wh
14122	2004-11-02	2001 ND 117	636 N.W.2d 674	DB_NO_PARALLEL		eport to law enforcement. We affirmed those convictions in *State v. Jensen,* 2001 ND 117, ¶ 1, 636 N.W.2d 674, holding
