citing_opinion_id,citation,antecedent_name,candidate_oids
7068,42 N.W.2d 438,,10070|10071
7044,204 N.W. 856,,3181|3182
6998,171 N.W. 827,,2086|2087
6967,203 N.W. 898,,3130|3131
6930,169 N.W. 577,,1997|1998
6898,68 N.D. 310,State v. Young,4828|4829
6898,279 N.W. 256,,4828|4829
6885,189 N.W. 322,,2690|2691
6884,149 N.W. 721,,1264|1265
6932,76 N.D. 205,Chester v. Einarson,9128|20391
6857,73 N.W.2d 782,,14732|14733
6830,117 N.W. 864,,434|435
6791,248 N.W. 268,,4393|4394
6765,88 N.W. 1023,,5851|5852
6814,112 N.W. 60,,296|297
6806,114 N.W. 478,,355|356
6737,76 N.D. 205,Chester v. Einarson,9128|20391
6737,35 N.W.2d 137,,20391|9128
6747,71 N.W.2d 770,,14446|14447
6760,208 N.W. 104,,3287|3288
6727,76 N.D. 205,Chester v. Einarson,9128|20391
6727,35 N.W.2d 137,,20391|9128
6706,111 N.W. 609,,271|272
6721,76 N.D. 205,Chester v. Einarson,9128|20391
6721,35 N.W.2d 137,,20391|9128
6686,162 N.W. 302,,1720|1721
6732,203 N.W. 898,,3130|3131
6659,202 N.W. 404,,3096|3097
6631,87 N.W. 593,,5837|5838
6630,73 N.W. 87,,5496|5497
6625,73 N.W.2d 782,N.D.,14732|14733
6638,249 N.W. 718,,4426|4428
6560,149 N.W. 721,,1264|1265
6578,220 N.W. 441,,3710|3711
6551,47 N.W.2d 527,,10881|10882
6515,18 N.D. 76,State ex rel. City of Minot v. Willis,458|20386
6513,150 N.W. 926,,1295|1296
6517,208 N.W. 104,,3287|3288
6476,194 N.W. 113,,2795|2826
6508,42 N.W.2d 438,,10070|10071
6457,140 N.W. 239,,1013|1014|1016
6455,159 N.W. 710,,1638|1639
6547,111 N.W. 615,,276|277|278
6447,42 N.W.2d 438,,10070|10071
6428,208 N.W. 104,,3287|3288
6424,48 N.D. 894,State ex rel. Bauer v. Nestos,2635|20389
6427,173 N.W. 455,,2160|2161
6399,111 N.W. 615,,276|277|278
6420,116 N.W. 335,,394|395
6356,184 N.W. 575,,2562|2563
6367,248 N.W. 268,,4393|4394
6342,73 N.W.2d 782,N.D.,14732|14733
6310,249 N.W. 718,,4426|4428
6309,175 N.W. 205,,2236|2237
6302,208 N.W. 104,,3287|3288
6357,71 N.W.2d 770,N.D.,14446|14447
6269,190 N.W. 176,,2711|2712
6292,193 N.W. 51,,2814|2815
6284,249 N.W. 718,,4426|4428
6228,202 N.W. 404,,3096|3097
6228,220 N.W. 441,,3710|3711
