year	nd_or_nw	page	n	class	oid	provisional_cite	nd_cite	nw_cite	needs_image
1934-01-15	ND	64 N.D. 367	2	ND_NW_ORDERABLE	4484	1934 ND 6	64 N.D. 367	252 N.W. 271	verify-ND-order
1945-08-08	ND	74 N.D. 242	2	ND_TRULY_TIED	7179	1945 ND 26	74 N.D. 242	21 N.W.2d 351	yes
1945-08-08	ND	74 N.D. 242	2	ND_TRULY_TIED	7180	1945 ND 27	74 N.D. 242	21 N.W.2d 351	yes
1955-12-19	NW2d	73 N.W.2d 782	2	NW2D_ERA	14732	1955 ND 73		73 N.W.2d 782	yes
1955-12-19	NW2d	73 N.W.2d 782	2	NW2D_ERA	14733	1955 ND 74		73 N.W.2d 782	yes
1970-03-20	NW2d	176 N.W.2d 521	2	NW2D_ERA	6845	1970 ND 15		176 N.W.2d 521	yes
1970-03-20	NW2d	176 N.W.2d 521	2	NW2D_ERA	20478	1970 ND 16		176 N.W.2d 521	yes
1970-03-20	NW2d	176 N.W.2d 522	2	NW2D_ERA	6846	1970 ND 17		176 N.W.2d 522	yes
1970-03-20	NW2d	176 N.W.2d 522	2	NW2D_ERA	6847	1970 ND 18		176 N.W.2d 522	yes
1984-10-23	NW2d	355 N.W.2d 798	2	NW2D_ERA	9208	1984 ND 155		355 N.W.2d 798	yes
1984-10-23	NW2d	355 N.W.2d 798	2	NW2D_ERA	9209	1984 ND 156		355 N.W.2d 798	yes
1984-10-30	NW2d	356 N.W.2d 897	2	NW2D_ERA	9240	1984 ND 186		356 N.W.2d 897	yes
1984-10-30	NW2d	356 N.W.2d 897	2	NW2D_ERA	9241	1984 ND 187		356 N.W.2d 897	yes
1986-03-19	NW2d	383 N.W.2d 813	2	NW2D_ERA	9594	1986 ND 45		383 N.W.2d 813	yes
1986-03-19	NW2d	383 N.W.2d 813	2	NW2D_ERA	9595	1986 ND 46		383 N.W.2d 813	yes
1988-02-09	NW2d	418 N.W.2d 789	2	NW2D_ERA	10043	1988 ND 30		418 N.W.2d 789	yes
1988-02-09	NW2d	418 N.W.2d 789	2	NW2D_ERA	10044	1988 ND 31		418 N.W.2d 789	yes
1990-06-28	NW2d	456 N.W.2d 772	2	NW2D_ERA	10656	1990 ND 124		456 N.W.2d 772	yes
1990-06-28	NW2d	456 N.W.2d 772	2	NW2D_ERA	10657	1990 ND 125		456 N.W.2d 772	yes
1991-05-07	NW2d	469 N.W.2d 801	2	NW2D_ERA	10873	1991 ND 86		469 N.W.2d 801	yes
1991-05-07	NW2d	469 N.W.2d 801	2	NW2D_ERA	10874	1991 ND 87		469 N.W.2d 801	yes
1991-08-16	NW2d	473 N.W.2d 134	2	NW2D_ERA	10934	1991 ND 147		473 N.W.2d 134	yes
1991-08-16	NW2d	473 N.W.2d 134	2	NW2D_ERA	20481	1991 ND 148		473 N.W.2d 134	yes
1992-10-01	NW2d	489 N.W.2d 886	2	NW2D_ERA	11204	1992 ND 161		489 N.W.2d 886	yes
1992-10-01	NW2d	489 N.W.2d 886	2	NW2D_ERA	11205	1992 ND 162		489 N.W.2d 886	yes
1994-09-13	NW2d	521 N.W.2d 643	2	NW2D_ERA	11740	1994 ND 187		521 N.W.2d 643	yes
1994-09-13	NW2d	521 N.W.2d 643	2	NW2D_ERA	11741	1994 ND 188		521 N.W.2d 643	yes
1994-10-27	NW2d	525 N.W.2d 250	2	NW2D_ERA	11803	1994 ND 215		525 N.W.2d 250	yes
1994-10-27	NW2d	525 N.W.2d 250	2	NW2D_ERA	11804	1994 ND 216		525 N.W.2d 250	yes
1995-08-18	NW2d	536 N.W.2d 354	2	NW2D_ERA	11968	1995 ND 130		536 N.W.2d 354	yes
1995-08-18	NW2d	536 N.W.2d 354	2	NW2D_ERA	11969	1995 ND 131		536 N.W.2d 354	yes
